2021-03-21,ARKK,TSLA,TESLA INC,10.42
2021-03-21,ARKK,SQ,SQUARE INC - A,6.22
2021-03-21,ARKK,TDOC,TELADOC HEALTH INC,6.08
2021-03-21,ARKK,ROKU,ROKU INC,5.58
2021-03-21,ARKK,Z,ZILLOW GROUP INC - C,3.49
2021-03-21,ARKK,BIDU,BAIDU INC - SPON ADR,3.39
2021-03-21,ARKK,SPOT,SPOTIFY TECHNOLOGY SA,3.13
2021-03-21,ARKK,CRSP,CRISPR THERAPEUTICS AG,3.07
2021-03-21,ARKK,SHOP,SHOPIFY INC - CLASS A,3.06
2021-03-21,ARKK,ZM,ZOOM VIDEO COMMUNICATIONS-A,3.02
2021-03-21,ARKK,NVTA,INVITAE CORP,2.82
2021-03-21,ARKK,EXAS,EXACT SCIENCES CORP,2.74
2021-03-21,ARKK,TWLO,TWILIO INC - A,2.44
2021-03-21,ARKK,U,UNITY SOFTWARE INC,2.16
2021-03-21,ARKK,DOCU,DOCUSIGN INC,1.92
2021-03-21,ARKK,PSTG,PURE STORAGE INC - CLASS A,1.85
2021-03-21,ARKK,BEKE,KE HOLDINGS INC,1.71
2021-03-21,ARKK,NTLA,INTELLIA THERAPEUTICS INC,1.65
2021-03-21,ARKK,TWST,TWIST BIOSCIENCE CORP,1.60
2021-03-21,ARKK,IOVA,IOVANCE BIOTHERAPEUTICS INC,1.55
2021-03-21,ARKK,TXG,10X GENOMICS INC-CLASS A,1.54
2021-03-21,ARKK,PRLB,PROTO LABS INC,1.50
2021-03-21,ARKK,TCEHY,TENCENT HOLDINGS LTD-UNS ADR,1.49
2021-03-21,ARKK,NTDOY,NINTENDO CO LTD-UNSPONS ADR,1.47
2021-03-21,ARKK,ICE,INTERCONTINENTAL EXCHANGE IN,1.27
2021-03-21,ARKK,IRDM,IRIDIUM COMMUNICATIONS INC,1.26
2021-03-21,ARKK,PYPL,PAYPAL HOLDINGS INC,1.22
2021-03-21,ARKK,PD,PAGERDUTY INC,1.21
2021-03-21,ARKK,EDIT,EDITAS MEDICINE INC,1.17
2021-03-21,ARKK,TWOU,2U INC,1.16
2021-03-21,ARKK,PCAR,PACCAR INC,1.12
2021-03-21,ARKK,PLTR,PALANTIR TECHNOLOGIES INC-A,1.11
2021-03-21,ARKK,SE,SEA LTD-ADR,1.09
2021-03-21,ARKK,TWTR,TWITTER INC,1.04
2021-03-21,ARKK,NVS,NOVARTIS AG-SPONSORED ADR,1.01
2021-03-21,ARKK,TREE UW,LENDINGTREE INC,1.01
2021-03-21,ARKK,VCYT,VERACYTE INC,0.98
2021-03-21,ARKK,MTLS,MATERIALISE NV-ADR,0.96
2021-03-21,ARKK,PACB,PACIFIC BIOSCIENCES OF CALIF,0.95
2021-03-21,ARKK,BEAM,BEAM THERAPEUTICS INC,0.91
2021-03-21,ARKK,SNPS,SYNOPSYS INC,0.91
2021-03-21,ARKK,REGN,REGENERON PHARMACEUTICALS,0.87
2021-03-21,ARKK,FATE,FATE THERAPEUTICS INC,0.85
2021-03-21,ARKK,TER,TERADYNE INC,0.82
2021-03-21,ARKK,SSYS,STRATASYS LTD,0.70
2021-03-21,ARKK,MCRB,SERES THERAPEUTICS INC,0.67
2021-03-21,ARKK,HUYA,HUYA INC-ADR,0.67
2021-03-21,ARKK,NSTG,NANOSTRING TECHNOLOGIES INC,0.56
2021-03-21,ARKK,,MORGAN STANLEY GOVT INSTL 8035,0.55
2021-03-21,ARKK,DKNG,DRAFTKINGS INC - CL A,0.54
2021-03-21,ARKK,BLI,BERKELEY LIGHTS INC,0.47
2021-03-21,ARKK,CERS,CERUS CORP,0.45
2021-03-21,ARKK,CGEN,COMPUGEN LTD,0.36
2021-03-21,ARKK,SYRS,SYROS PHARMACEUTICALS INC,0.18
2021-03-21,ARKK,TSM,TAIWAN SEMICONDUCTOR-SP ADR,0.03
2021-03-21,ARKK,ONVO ,ORGANOVO HOLDINGS INC,0.01
